,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
979,openbankingproject_1_3_8_2020-12-14 - Swiss edition 1_3_8_1-CH,23,23,8,23,0,21,False,0,34,0,4,0,0,0,1,12,34,0,0,True,0,0,0,23,34,12,649,"{""200"": 24, ""400"": 34, ""401"": 34, ""403"": 34, ""404"": 34, ""405"": 34, ""406"": 34, ""408"": 34, ""409"": 34, ""415"": 34, ""500"": 34, ""503"": 34, ""201"": 7, ""204"": 3, ""202"": 1}",{}
980,dropx_1_0_0,6,7,7,7,0,2,False,0,7,5,6,1,0,0,0,0,0,0,5,True,0,0,0,7,7,0,10,"{""200"": 7, ""401"": 7, ""500"": 7}",{}
981,azure_security-jitNetworkAccessPolicies_2015-06-01-preview,6,6,0,6,0,6,True,0,8,0,0,0,0,0,0,2,0,0,6,False,0,0,0,6,8,2,35,"{""200"": 7, ""204"": 1, ""202"": 1}",{}
982,azure_sql-serverKeys_2015-05-01-preview,2,2,0,2,0,2,True,0,4,0,0,0,0,0,0,1,0,0,2,False,0,0,0,2,4,1,20,"{""200"": 4, ""201"": 1, ""202"": 2, ""204"": 1}",{}
983,azure_mediaservices-Assets_2018-03-30-preview,4,4,0,4,0,2,True,0,7,0,2,0,0,0,0,3,0,0,4,False,0,0,0,4,7,3,40,"{""200"": 7, ""404"": 1, ""201"": 1, ""204"": 1}",{}
984,jirafe_2_0_0,6,6,0,6,0,6,True,0,6,0,0,6,0,0,0,6,0,0,6,True,0,0,0,6,6,6,12,"{""200"": 6, ""400"": 6, ""403"": 6, ""503"": 6}",{}
985,epa_cwa_2019_10_15,18,0,18,15,0,11,True,0,36,7,14,36,0,0,0,0,0,0,18,False,0,0,0,18,36,18,385,"{""200"": 36}",{}
986,azure_compute-skus_2017-09-01,1,1,0,1,0,0,True,0,1,0,1,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,2,"{""200"": 1}",{}
987,crucible_1_0_0,63,63,46,63,16,49,True,1,79,7,15,79,0,0,1,0,0,0,0,False,0,0,0,63,79,0,154,"{""200"": 79}","{""limit"": 1}"
988,apisetu_phedharyana_3_0_0,3,3,3,3,0,3,False,0,3,0,0,3,0,0,0,3,0,0,3,True,0,0,0,3,3,3,3,"{""200"": 3, ""400"": 3, ""401"": 3, ""404"": 3, ""500"": 3, ""502"": 3, ""503"": 3, ""504"": 3}",{}
989,apisetu_transportwb_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
990,ebay_sell-recommendation_1_1_0,1,1,1,1,0,0,False,1,1,0,1,1,0,0,0,1,0,0,1,False,0,0,0,1,1,1,5,"{""200"": 1, ""204"": 1, ""400"": 1, ""500"": 1}","{""limit"": 1, ""offset"": 1}"
991,apisetu_aiimsmangalagiri_3_0_0,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""400"": 1, ""401"": 1, ""404"": 1, ""500"": 1, ""502"": 1, ""503"": 1, ""504"": 1}",{}
992,brandlovers_1_0_0,31,31,16,31,8,28,False,15,36,0,3,36,0,0,35,19,0,0,31,True,0,0,0,31,36,19,101,"{""200"": 36, ""400"": 34, ""401"": 32, ""403"": 20, ""404"": 10}","{""offset"": 15, ""limit"": 15}"
993,apideck_ats_9_3_0,4,4,4,4,0,4,False,2,5,0,0,0,0,0,0,1,2,0,4,False,0,0,0,4,5,1,32,"{""200"": 4, ""400"": 5, ""401"": 5, ""404"": 5, ""201"": 1}","{""limit"": 2}"
994,ibanapi_1_0_0,3,3,3,3,0,3,False,0,3,0,0,0,0,0,0,0,0,0,3,True,0,0,0,3,3,0,2,"{""200"": 3, ""400"": 3, ""401"": 3, ""403"": 3}",{}
995,mailboxvalidator_validation_0_1,1,1,1,1,0,1,False,0,1,0,0,1,0,0,1,0,0,0,0,False,0,0,0,1,1,0,3,"{""200"": 1}",{}
